Operational Recommendation,Temperature Recommendation,Humidity Recommendation,Battery Recommendation,Shipment Recommendation,Financial Recommendation,Quality Recommendation,Manager Recommendation,Priority Action,Recommendation Severity,Recommendation Category,Immediate Action Required,Recommendation Status,Escalation Level,Final Recommendation,Shipment ID,Container ID,Timestamp,Date,Time,Product Category,Product Name,Vehicle Type,Origin City,Destination City,Transport Mode,Latitude,Longitude,Temperature,Humidity,Battery,Shock,Vibration,Delay Hours,Sensor Status,Weather,Driver ID,Route ID,Trip Distance,Trip Duration,Fuel Consumption,Temperature Deviation,Temperature Excursion Flag,Temperature Band,Humidity Deviation,Humidity Excursion Flag,Humidity Band,Battery Health Score,Battery Status,Battery Low Flag,Shock Severity,High Shock Flag,Delay Category,Delay Flag,Journey Duration Category,Average Speed,Fuel Efficiency,Trip Efficiency,Distance Category,Vibration Severity,High Vibration Flag,Operational Status,Sensor Health Score,Weather Impact Indicator,Temperature Excursion Duration Risk,Cold Chain Compliance Flag,Spoilage Probability Indicator,Risk Indicator,Risk Category,Operational Risk Indicator,Temperature Risk Score,Humidity Risk Score,Battery Risk Score,Shock Risk Score,Vibration Risk Score,Delay Risk Score,Overall Risk Index,Risk Score,Risk Priority,Risk Level,Risk Description,Spoilage Risk,Quality Risk,Logistics Risk,Operational Risk,Financial Risk Indicator,Spoilage Risk Indicator,Estimated Quantity,Product Unit Value,Inventory Value,Spoilage Percentage,Spoiled Quantity,Estimated Loss,Financial Loss,Estimated Loss Percentage,Insurance Eligible,Insurance Claim Amount,Recovery Eligible,Recovery Amount,Net Financial Loss,Loss Category,Loss Severity,Business Impact,Profit Impact,Cost Impact,Recovery Status,Insurance Status
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-108D83A23825,CTR-706D7950A7,2026-05-25 08:03:06,2026-05-25,08:03:06,Dairy Products,Cheese,Cold Storage Container,Mumbai,Indore,Road,21.100893,73.90495,3.44,54.06,59.87,206.78,9.296,2.12,Active,Cold Wave,DRV-05D585AB,RTE-5FD462C6,1027.79,38.49,226.16,3.44,0,Safe,4.060000000000002,0,Safe,33.11666666611472,Healthy,0,2,0,Safe,0,Medium,26.70277994214854,4.544525999272442,Low,Short,1,0,Active,33.11666666611472,0,0.0,1,0.7647153028850955,76.47,Medium Risk,0,58.44,20.05,66.88,66.67,50.0,7.85,44.83,44.83,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,High Risk,0.1,0.06,434.21,350.0,151973.5,0.06,26.0526,26.0526,15197.35,0.1,False,0.0,True,15197.349999999902,9.822542779147624e-11,Low,low,Low,Minor,Low,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-AA7EDC7F86FE,CTR-9223C2602D,2026-07-05 10:01:06,2026-07-05,10:01:06,Vaccines,Polio Vaccine,Insulated Container,Lucknow,Nagpur,Air,24.203473,79.55828,1.64,59.86,72.5,57.48,11.983,1.83,Active,Storm,DRV-25B3E921,RTE-F0F5C33C,1540.93,1.0,261.81,1.64,0,Safe,9.86,0,Safe,54.1666666657639,Healthy,0,0,0,Safe,0,Short,1540.92999845907,5.885680455269525,Medium,Medium,2,1,Vibration Alert,39.1666666657639,0,0.0,1,0.8221342444041443,82.21,Medium Risk,1,27.86,48.69,45.83,0.0,100.0,6.78,34.59,34.59,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Medium Risk,Medium Risk,0.1,0.06,616.9720000000001,950.0,586123.4000000001,0.06,37.01832,37.01832,58612.34000000002,0.1,False,0.0,True,58612.33999999991,1.0913936421275139e-10,Low,low,Low,Major,High,Eligible,Not Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-ED9C4BD2B6F3,CTR-0C6A96F648,2026-06-28 06:06:06,2026-06-28,06:06:06,Frozen Foods,Frozen Pizza,Insulated Container,Mumbai,Bhubaneswar,Sea,19.982698,79.888164,1.39,52.38,69.59,55.13,10.466,3.36,Active,Cold Wave,DRV-BA562DE8,RTE-6905558A,1765.25,63.27,294.07,1.39,0,Safe,2.3800000000000026,0,Safe,49.316666665844735,Healthy,0,0,0,Safe,0,Long,27.9002686893014,6.00282245721766,Medium,Long,1,0,Active,49.316666665844735,0,0.0,1,0.6641478061687406,66.41,Low Risk,0,23.62,11.75,50.68,0.0,50.0,12.44,22.72,22.72,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Medium Risk,0.03,0.02,744.062,240.0,178574.88,0.02,14.88124,14.88124,5357.2464,0.03,False,0.0,False,0.0,5357.2464,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-9932A77233ED,CTR-9B31614B16,2026-06-15 07:31:06,2026-06-15,07:31:06,Seafood,Salmon,Insulated Container,Asansol,Bhubaneswar,Rail,21.519477,86.930748,-0.14,60.86,68.85,155.22,6.101,1.98,Active,Rain,DRV-364BC97E,RTE-0CF89805,1088.07,26.94,167.16,0.14,0,Safe,10.86,0,Safe,48.083333332531936,Healthy,0,1,0,Safe,0,Short,40.38864142389054,6.5091529073551735,High,Short,1,0,Active,48.083333332531936,1,0.0,1,0.6755451287718371,67.55,Medium Risk,0,2.38,53.62,51.92,33.33,50.0,7.33,30.21,30.21,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Low Risk,Low Risk,Low Risk,Medium Risk,0.1,0.06,451.392,450.0,203126.4,0.06,27.08352,27.08352,20312.64,0.1,False,0.0,True,20312.639999999898,1.0186340659856795e-10,Low,low,Low,Major,High,Eligible,Not Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-CA2FCE317FF7,CTR-7B606953D3,2026-06-14 23:04:06,2026-06-14,23:04:06,Seafood,Prawns,Mini Reefer Truck,Srinagar,Hyderabad,Rail,26.34017,77.0282,-0.41,57.89,68.69,113.2,4.136,3.03,Active,Storm,DRV-4F4B6FC8,RTE-D47D0A68,963.92,45.52,142.71,0.41,0,Safe,7.890000000000001,0,Safe,47.816666665869725,Healthy,0,1,0,Safe,0,Medium,21.175746923963622,6.754397028892479,High,Short,0,0,Active,47.816666665869725,0,0.0,1,0.6710314971018286,67.1,Low Risk,0,6.97,38.96,52.18,33.33,0.0,11.22,24.04,24.04,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Medium Risk,0.03,0.02,412.88,520.0,214697.6,0.02,8.2576,8.2576,6440.928,0.03,False,0.0,False,0.0,6440.928,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-55B54A09CC7E,CTR-46C61BAFB8,2026-07-10 11:54:06,2026-07-10,11:54:06,Dairy Products,Curd,Reefer Trailer,Pune,Kanpur,Road,22.38153,77.601107,-1.87,69.05,71.23,33.85,2.138,0.9,Active,Clear,DRV-7D516D9C,RTE-82AD5BB6,796.14,29.38,161.75,1.87,0,Safe,19.05,0,Safe,52.04999999913251,Healthy,0,0,0,Safe,0,Short,27.098025867015043,4.922040185440977,Low,Short,0,0,Active,52.04999999913251,0,0.0,1,0.8182480248919501,81.82,Medium Risk,0,31.77,94.07,47.95,0.0,0.0,3.33,34.45,34.45,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,High Risk,Medium Risk,Low Risk,Low Risk,0.1,0.06,336.084,16.0,5377.344,0.06,20.16504,20.16504,537.7344,0.1,False,0.0,True,537.7343999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-7978D1A9E1C5,CTR-D8F889F677,2026-05-25 03:17:06,2026-05-25,03:17:06,Dairy Products,Butter,Mini Reefer Truck,Gurugram,Chandigarh,Road,28.911793,77.20067,4.01,40.11,79.75,106.23,5.995,1.19,Active,Cold Wave,DRV-EE3160C6,RTE-3394611C,764.62,53.24,104.81,4.01,0,Safe,9.89,0,Safe,66.24999999889583,Healthy,0,1,0,Safe,0,Medium,14.361758076364357,7.295296250288185,High,Short,1,0,Active,66.24999999889583,0,0.0,1,0.8260999929316472,82.61,Medium Risk,0,68.13,48.84,33.75,33.33,50.0,4.41,42.52,42.52,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,High Risk,High Risk,Low Risk,Medium Risk,0.1,0.06,337.79200000000003,220.0,74314.24,0.06,20.26752,20.26752,7431.424000000001,0.1,False,0.0,True,7431.423999999901,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-8A601E144F3F,CTR-AED705F743,2026-06-30 19:44:06,2026-06-30,19:44:06,Dairy Products,Milk,Insulated Container,Chennai,Jaipur,Air,19.235555,78.375989,-2.04,52.36,85.84,257.47,4.84,3.62,Active,Fog,DRV-FB1AED8F,RTE-EEA3B846,1665.54,4.4,274.25,2.04,0,Safe,2.3599999999999994,0,Safe,76.39999999872667,Healthy,0,3,1,Safe,0,Short,378.5318180957882,6.073072014563088,Medium,Long,0,0,Shock Alert,56.39999999872667,0,0.0,1,0.8254946942512936,82.55,Medium Risk,1,34.66,11.65,23.6,100.0,0.0,13.4,31.54,31.54,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,668.856,12.0,8026.272,0.06,40.13136,40.13136,802.6272,0.1,False,0.0,True,802.6271999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-C1EB6B899521,CTR-2C152EC09F,2026-05-25 15:08:06,2026-05-25,15:08:06,Vaccines,BCG Vaccine,Refrigerated Van,Patna,Kanpur,Sea,25.506787,82.337803,2.6,45.56,79.38,54.6,7.675,1.02,Active,Cloudy,DRV-0D4A9E39,RTE-7367169B,2008.01,64.31,286.46,2.6,0,Safe,4.439999999999998,0,Safe,65.63333333223945,Healthy,0,0,0,Safe,0,Long,31.223915409248576,7.009739579672521,High,Long,1,0,Active,65.63333333223945,0,0.0,1,0.715808111647803,71.58,Medium Risk,0,44.17,21.92,34.37,0.0,50.0,3.78,26.15,26.15,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,841.7900000000001,800.0,673432.0000000001,0.06,50.5074,50.5074,67343.20000000001,0.1,False,0.0,True,67343.19999999991,1.0186340659856795e-10,Low,low,Low,Major,High,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-3D7C00CE841B,CTR-5A63512BCA,2026-06-20 13:39:06,2026-06-20,13:39:06,Vaccines,Polio Vaccine,Reefer Trailer,Ranchi,Coimbatore,Rail,16.493157,81.647291,0.88,54.64,61.93,48.3,12.068,3.67,Active,Clear,DRV-1BA106C3,RTE-F4DF1852,1352.63,43.8,270.55,0.88,0,Safe,4.640000000000001,0,Safe,36.54999999939084,Healthy,0,0,0,Safe,0,Medium,30.881963469614576,4.9995564590463895,Low,Medium,2,1,Vibration Alert,21.549999999390835,0,0.0,1,0.7682281471384472,76.82,Medium Risk,1,14.95,22.91,63.45,0.0,100.0,13.59,29.88,29.88,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Low Risk,Low Risk,Medium Risk,High Risk,0.1,0.06,567.332,950.0,538965.4,0.06,34.039919999999995,34.039919999999995,53896.54000000001,0.1,False,0.0,True,53896.5399999999,1.0913936421275139e-10,Low,low,Low,Major,High,Eligible,Not Eligible
